score,level1,level1pct,level2,level2pct,level3,level3pct,level4,level4pct,level5,level5pct,level6,level6pct,level7,level7pct,level567,level567pct,tokennum,typenum,typedivtoken,ngrams2_appear,ngrams2_total,ngrams2_appear_ratio,ngrams3_appear,ngrams3_total,ngrams3_appear_ratio,ngrams4_appear,ngrams4_total,ngrams4_appear_ratio,ngrams5_appear,ngrams5_total,ngrams5_appear_ratio,AWLratio,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv,modv,
2.500000,631.000000,69.264544,55.000000,6.037322,18.000000,1.975851,22.000000,2.414929,3.000000,0.329308,9.000000,0.987925,173.000000,18.990121,185.000000,20.307355,911.000000,370.000000,0.406147,819.000000,900.000000,0.910000,597.000000,895.000000,0.667039,282.000000,890.000000,0.316854,89.000000,885.000000,0.100565,0.050420,366.000000,143.000000,17.000000,8.000000,911.000000,225.000000,50.000000,8.000000,0.050000,0.160000,0.390000,0.230000,0.690000,0.590000,366.000000,41.000000,41.400000,39.400000,0.400000,0.780000,8.570000,12.130000,0.870000,22.120000,0.340000,0.380000,1.920000,0.980000,0.100000,0.220000,0.060000,0.080000,0.140000,
2.500000,686.000000,71.458333,56.000000,5.833333,13.000000,1.354167,24.000000,2.500000,4.000000,0.416667,6.000000,0.625000,171.000000,17.812500,181.000000,18.854167,960.000000,363.000000,0.378125,881.000000,955.000000,0.922513,636.000000,954.000000,0.666667,284.000000,953.000000,0.298006,103.000000,952.000000,0.108193,0.053073,363.000000,144.000000,14.000000,6.000000,960.000000,207.000000,47.000000,6.000000,0.050000,0.130000,0.400000,0.200000,0.400000,0.450000,363.000000,40.000000,42.100000,41.500000,0.380000,0.780000,8.280000,11.720000,0.860000,21.060000,0.300000,0.300000,0.900000,0.670000,0.060000,0.240000,0.040000,0.090000,0.130000,
2.500000,421.000000,70.401338,39.000000,6.521739,14.000000,2.341137,8.000000,1.337793,2.000000,0.334448,4.000000,0.668896,110.000000,18.394649,116.000000,19.397993,598.000000,237.000000,0.396321,550.000000,592.000000,0.929054,421.000000,590.000000,0.713559,210.000000,588.000000,0.357143,72.000000,586.000000,0.122867,0.030303,236.000000,81.000000,8.000000,4.000000,598.000000,132.000000,25.000000,4.000000,0.040000,0.160000,0.340000,1.000000,1.000000,0.710000,236.000000,40.000000,39.600000,37.400000,0.390000,0.750000,6.820000,9.650000,0.850000,19.090000,0.320000,1.000000,1.000000,0.710000,0.040000,0.170000,0.080000,0.080000,0.160000,
2.500000,653.000000,69.989282,41.000000,4.394427,19.000000,2.036442,17.000000,1.822079,3.000000,0.321543,6.000000,0.643087,194.000000,20.793140,203.000000,21.757771,933.000000,378.000000,0.405145,814.000000,926.000000,0.879050,574.000000,924.000000,0.621212,253.000000,922.000000,0.274403,76.000000,920.000000,0.082609,0.045822,378.000000,167.000000,23.000000,12.000000,933.000000,233.000000,49.000000,13.000000,0.050000,0.270000,0.440000,0.330000,0.330000,0.410000,378.000000,40.000000,42.000000,38.800000,0.410000,0.780000,8.750000,12.380000,0.870000,22.480000,0.470000,0.670000,1.330000,0.820000,0.040000,0.350000,0.120000,0.060000,0.180000,
2.500000,377.000000,73.062016,34.000000,6.589147,11.000000,2.131783,6.000000,1.162791,0.000000,0.000000,5.000000,0.968992,83.000000,16.085271,88.000000,17.054264,516.000000,231.000000,0.447674,478.000000,510.000000,0.937255,357.000000,508.000000,0.702756,179.000000,506.000000,0.353755,70.000000,504.000000,0.138889,0.048889,230.000000,73.000000,12.000000,4.000000,516.000000,104.000000,27.000000,4.000000,0.050000,0.150000,0.320000,0.500000,0.500000,0.500000,230.000000,41.000000,43.000000,37.100000,0.450000,0.780000,7.160000,10.130000,0.870000,20.970000,0.440000,1.000000,2.000000,1.000000,0.070000,0.280000,0.070000,0.110000,0.190000,
2.500000,202.000000,70.629371,18.000000,6.293706,4.000000,1.398601,6.000000,2.097902,1.000000,0.349650,0.000000,0.000000,55.000000,19.230769,56.000000,19.580420,286.000000,152.000000,0.531469,254.000000,285.000000,0.891228,171.000000,284.000000,0.602113,65.000000,283.000000,0.229682,21.000000,282.000000,0.074468,0.059603,151.000000,48.000000,5.000000,0.000000,286.000000,70.000000,10.000000,0.000000,0.030000,0.000000,0.320000,0.000000,0.000000,0.000000,151.000000,41.000000,40.400000,39.100000,0.530000,0.760000,6.310000,8.930000,0.890000,21.750000,0.500000,0.000000,0.000000,0.000000,0.000000,0.380000,0.200000,0.000000,0.200000,
3.000000,442.000000,68.633540,39.000000,6.055901,19.000000,2.950311,9.000000,1.397516,4.000000,0.621118,4.000000,0.621118,127.000000,19.720497,135.000000,20.962733,644.000000,298.000000,0.462733,591.000000,633.000000,0.933649,433.000000,628.000000,0.689490,210.000000,623.000000,0.337079,62.000000,618.000000,0.100324,0.038596,294.000000,112.000000,13.000000,5.000000,644.000000,148.000000,25.000000,5.000000,0.040000,0.200000,0.380000,0.330000,0.330000,0.410000,294.000000,41.000000,43.300000,41.300000,0.460000,0.790000,8.190000,11.590000,0.880000,23.170000,0.520000,0.670000,1.330000,0.820000,0.080000,0.410000,0.080000,0.080000,0.160000,
3.000000,683.000000,67.690783,42.000000,4.162537,16.000000,1.585728,14.000000,1.387512,3.000000,0.297324,4.000000,0.396432,247.000000,24.479683,254.000000,25.173439,1009.000000,417.000000,0.413280,900.000000,1001.000000,0.899101,695.000000,999.000000,0.695696,351.000000,997.000000,0.352056,114.000000,995.000000,0.114573,0.040107,380.000000,150.000000,21.000000,9.000000,1009.000000,228.000000,54.000000,9.000000,0.050000,0.170000,0.390000,0.500000,1.500000,0.870000,380.000000,41.000000,40.900000,37.100000,0.380000,0.780000,8.460000,11.960000,0.860000,21.280000,0.390000,0.670000,2.670000,1.150000,0.070000,0.240000,0.110000,0.060000,0.170000,
3.000000,223.000000,23.978495,3.000000,0.322581,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,704.000000,75.698925,704.000000,75.698925,930.000000,359.000000,0.386022,848.000000,922.000000,0.919740,658.000000,920.000000,0.715217,330.000000,918.000000,0.359477,114.000000,916.000000,0.124454,0.037037,357.000000,138.000000,14.000000,5.000000,930.000000,212.000000,34.000000,5.000000,0.040000,0.150000,0.390000,0.330000,0.670000,0.580000,357.000000,43.000000,40.000000,38.200000,0.380000,0.770000,8.280000,11.710000,0.860000,21.190000,0.410000,0.670000,2.670000,1.150000,0.120000,0.250000,0.090000,0.060000,0.150000,
3.000000,417.000000,53.945666,32.000000,4.139715,9.000000,1.164295,6.000000,0.776197,1.000000,0.129366,0.000000,0.000000,308.000000,39.844761,309.000000,39.974127,773.000000,367.000000,0.474774,711.000000,765.000000,0.929412,543.000000,763.000000,0.711664,275.000000,761.000000,0.361367,83.000000,759.000000,0.109354,0.029900,307.000000,106.000000,19.000000,6.000000,773.000000,155.000000,55.000000,6.000000,0.070000,0.110000,0.350000,0.140000,0.140000,0.270000,307.000000,41.000000,41.300000,39.300000,0.400000,0.790000,7.810000,11.040000,0.860000,20.800000,0.350000,0.430000,1.290000,0.800000,0.050000,0.280000,0.050000,0.110000,0.160000,
3.000000,697.000000,70.332997,55.000000,5.549950,19.000000,1.917255,31.000000,3.128153,5.000000,0.504541,6.000000,0.605449,178.000000,17.961655,189.000000,19.071645,991.000000,378.000000,0.381433,870.000000,983.000000,0.885046,622.000000,981.000000,0.634047,289.000000,979.000000,0.295199,76.000000,977.000000,0.077789,0.054200,376.000000,152.000000,24.000000,11.000000,991.000000,216.000000,67.000000,11.000000,0.070000,0.160000,0.400000,0.200000,1.000000,0.710000,376.000000,43.000000,39.400000,37.700000,0.380000,0.760000,8.450000,11.940000,0.860000,21.330000,0.360000,0.320000,2.560000,1.130000,0.120000,0.300000,0.040000,0.070000,0.120000,
3.000000,459.000000,68.918919,47.000000,7.057057,15.000000,2.252252,12.000000,1.801802,3.000000,0.450450,5.000000,0.750751,125.000000,18.768769,133.000000,19.969970,666.000000,301.000000,0.451952,603.000000,658.000000,0.916413,441.000000,657.000000,0.671233,201.000000,656.000000,0.306402,67.000000,655.000000,0.102290,0.047458,300.000000,111.000000,19.000000,9.000000,666.000000,158.000000,35.000000,10.000000,0.050000,0.290000,0.370000,0.500000,1.500000,0.870000,300.000000,43.000000,42.200000,39.100000,0.450000,0.780000,8.220000,11.620000,0.880000,23.020000,0.540000,1.000000,6.000000,1.730000,0.170000,0.330000,0.110000,0.060000,0.170000,
3.000000,355.000000,69.200780,32.000000,6.237817,7.000000,1.364522,5.000000,0.974659,1.000000,0.194932,5.000000,0.974659,108.000000,21.052632,114.000000,22.222222,513.000000,241.000000,0.469786,459.000000,503.000000,0.912525,336.000000,499.000000,0.673347,158.000000,495.000000,0.319192,49.000000,492.000000,0.099594,0.038627,240.000000,83.000000,12.000000,5.000000,513.000000,117.000000,26.000000,5.000000,0.050000,0.190000,0.350000,0.500000,0.500000,0.500000,240.000000,40.000000,41.900000,38.900000,0.470000,0.790000,7.490000,10.600000,0.880000,22.260000,0.460000,1.000000,2.000000,1.000000,0.080000,0.270000,0.120000,0.120000,0.230000,
3.000000,879.000000,75.972342,53.000000,4.580812,21.000000,1.815039,22.000000,1.901469,2.000000,0.172861,9.000000,0.777874,171.000000,14.779602,182.000000,15.730337,1157.000000,382.000000,0.330164,1029.000000,1150.000000,0.894783,808.000000,1149.000000,0.703220,390.000000,1148.000000,0.339721,116.000000,1147.000000,0.101133,0.053333,380.000000,146.000000,20.000000,9.000000,1157.000000,246.000000,54.000000,10.000000,0.050000,0.190000,0.380000,0.330000,0.670000,0.580000,380.000000,41.000000,38.900000,36.500000,0.330000,0.760000,7.900000,11.170000,0.840000,19.410000,0.370000,0.670000,2.670000,1.150000,0.070000,0.250000,0.090000,0.040000,0.130000,
3.000000,310.000000,39.591315,17.000000,2.171137,6.000000,0.766284,7.000000,0.893997,1.000000,0.127714,2.000000,0.255428,440.000000,56.194125,443.000000,56.577267,783.000000,397.000000,0.507024,691.000000,773.000000,0.893920,515.000000,770.000000,0.668831,245.000000,767.000000,0.319426,79.000000,764.000000,0.103403,0.053413,343.000000,147.000000,18.000000,8.000000,783.000000,208.000000,39.000000,8.000000,0.050000,0.210000,0.430000,0.670000,2.670000,1.150000,343.000000,43.000000,41.100000,39.600000,0.440000,0.800000,8.670000,12.260000,0.880000,23.360000,0.460000,0.830000,4.170000,1.440000,0.130000,0.280000,0.080000,0.080000,0.150000,
3.000000,730.000000,74.565884,46.000000,4.698672,14.000000,1.430031,23.000000,2.349336,2.000000,0.204290,5.000000,0.510725,159.000000,16.241062,166.000000,16.956078,979.000000,328.000000,0.335036,902.000000,972.000000,0.927984,676.000000,971.000000,0.696190,304.000000,970.000000,0.313402,86.000000,969.000000,0.088751,0.037037,328.000000,119.000000,19.000000,8.000000,979.000000,203.000000,76.000000,9.000000,0.080000,0.120000,0.360000,0.090000,0.090000,0.210000,328.000000,41.000000,40.000000,36.300000,0.340000,0.750000,7.410000,10.480000,0.840000,18.830000,0.250000,0.180000,0.360000,0.430000,0.030000,0.240000,0.070000,0.040000,0.110000,
3.000000,743.000000,71.100478,58.000000,5.550239,24.000000,2.296651,37.000000,3.540670,1.000000,0.095694,7.000000,0.669856,175.000000,16.746411,183.000000,17.511962,1045.000000,377.000000,0.360766,938.000000,1040.000000,0.901923,694.000000,1039.000000,0.667950,357.000000,1038.000000,0.343931,117.000000,1037.000000,0.112825,0.067751,375.000000,144.000000,16.000000,8.000000,1045.000000,229.000000,60.000000,8.000000,0.060000,0.130000,0.380000,0.080000,0.150000,0.280000,375.000000,39.000000,40.900000,40.300000,0.360000,0.770000,8.200000,11.600000,0.850000,20.480000,0.270000,0.120000,0.350000,0.420000,0.050000,0.270000,0.070000,0.050000,0.120000,
3.000000,314.000000,45.310245,15.000000,2.164502,9.000000,1.298701,4.000000,0.577201,2.000000,0.288600,6.000000,0.865801,343.000000,49.494949,351.000000,50.649351,693.000000,352.000000,0.507937,609.000000,688.000000,0.885174,462.000000,687.000000,0.672489,218.000000,686.000000,0.317784,71.000000,685.000000,0.103650,0.036667,305.000000,111.000000,17.000000,5.000000,693.000000,157.000000,32.000000,5.000000,0.050000,0.160000,0.360000,0.500000,1.000000,0.710000,305.000000,41.000000,42.000000,36.600000,0.440000,0.780000,8.190000,11.590000,0.870000,22.640000,0.530000,0.750000,2.250000,1.060000,0.090000,0.420000,0.060000,0.120000,0.190000,
3.000000,628.000000,70.800451,38.000000,4.284104,8.000000,0.901917,7.000000,0.789177,2.000000,0.225479,4.000000,0.450958,200.000000,22.547914,206.000000,23.224352,887.000000,355.000000,0.400225,792.000000,880.000000,0.900000,621.000000,877.000000,0.708096,321.000000,874.000000,0.367277,109.000000,871.000000,0.125144,0.034375,325.000000,119.000000,20.000000,8.000000,887.000000,191.000000,40.000000,8.000000,0.050000,0.200000,0.370000,0.670000,1.330000,0.820000,325.000000,40.000000,41.300000,38.600000,0.370000,0.740000,7.720000,10.910000,0.850000,19.930000,0.500000,1.000000,3.000000,1.220000,0.070000,0.380000,0.070000,0.120000,0.200000,
3.000000,687.000000,73.240938,51.000000,5.437100,12.000000,1.279318,14.000000,1.492537,4.000000,0.426439,6.000000,0.639659,164.000000,17.484009,174.000000,18.550107,938.000000,337.000000,0.359275,864.000000,932.000000,0.927039,680.000000,930.000000,0.731183,332.000000,928.000000,0.357759,114.000000,926.000000,0.123110,0.036254,336.000000,128.000000,16.000000,7.000000,938.000000,217.000000,39.000000,7.000000,0.040000,0.180000,0.380000,0.500000,1.500000,0.870000,336.000000,40.000000,41.400000,37.500000,0.360000,0.770000,7.760000,10.970000,0.850000,19.810000,0.410000,0.670000,2.670000,1.150000,0.100000,0.250000,0.100000,0.050000,0.150000,
3.000000,428.000000,57.142857,26.000000,3.471295,9.000000,1.201602,7.000000,0.934579,2.000000,0.267023,5.000000,0.667557,272.000000,36.315087,279.000000,37.249666,749.000000,344.000000,0.459279,693.000000,743.000000,0.932705,544.000000,742.000000,0.733154,285.000000,741.000000,0.384615,88.000000,740.000000,0.118919,0.031250,295.000000,99.000000,17.000000,8.000000,749.000000,149.000000,43.000000,8.000000,0.060000,0.190000,0.340000,0.400000,0.800000,0.630000,295.000000,40.000000,40.900000,38.800000,0.390000,0.780000,7.620000,10.780000,0.860000,20.420000,0.400000,0.600000,1.800000,0.950000,0.070000,0.220000,0.120000,0.070000,0.190000,
3.000000,793.000000,74.042951,51.000000,4.761905,15.000000,1.400560,15.000000,1.400560,2.000000,0.186741,4.000000,0.373483,191.000000,17.833800,197.000000,18.394024,1071.000000,359.000000,0.335201,988.000000,1065.000000,0.927700,780.000000,1063.000000,0.733772,391.000000,1061.000000,0.368520,124.000000,1059.000000,0.117092,0.031162,358.000000,135.000000,21.000000,5.000000,1071.000000,229.000000,63.000000,5.000000,0.060000,0.080000,0.380000,0.200000,0.200000,0.320000,358.000000,40.000000,41.300000,38.700000,0.330000,0.770000,7.740000,10.940000,0.840000,19.290000,0.330000,0.600000,1.800000,0.950000,0.050000,0.280000,0.050000,0.080000,0.130000,
